drug_id,drug_name,category,safety_score,verdict,final_recommendation,n_total_matches,n_exact,n_close_analog,n_analog,ensemble_pred,single_pred,mean_true_ic50,sensitivity_rate,smiles,mw,logp,hbd,hba,tpsa,rotatable_bonds
1237,EPZ004777,B,119.119,PASS,CANDIDATE,4,3,0,1,2.6746281902564086,2.3814963549375534,3.152737333333333,0.4583333333333333,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,335.40700000000004,4.473320000000005,1,4,60.03,2
1799,Ibrutinib,C,111.89599999999999,PASS,CANDIDATE,3,3,0,0,2.530991626293464,2.4756606703712825,2.6509626666666666,0.7619047619047619,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,263.2,-1.2886,3,7,110.60000000000001,2
1558,Lapatinib,A,98.67699999999999,PASS,APPROVED,3,3,0,0,2.672739925777773,2.418420268141705,2.410253739130435,0.6521739130434783,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,282.37200000000007,4.023680000000002,1,5,61.07,3
1017,Olaparib,A,24.121999999999996,PASS,APPROVED,2,0,0,2,2.3778000310208154,2.557436928153038,2.7337221666666665,0.5,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1415.5760000000005,-7.703580000000035,20,31,627.0700000000002,35
1917,AZD6738,C,9.515,PASS,CANDIDATE,2,0,0,2,2.6968719700936528,2.511896600946784,2.1595656521739133,0.5217391304347826,CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=N)(=O)C)C4=CN=CC5=C4C=CN5,492.0040000000002,5.533960000000005,2,7,92.4,4
1378,Bleomycin (50 uM),B,7.829,PASS,CANDIDATE,1,0,0,1,2.574570926061685,2.739567682856605,2.8882648095238097,0.4761904761904761,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,356.3820000000001,2.1325799999999995,2,7,119.49000000000001,7
1819,Docetaxel,A,7.454999999999999,PASS,APPROVED,10,2,2,6,2.2965553976856996,2.227046524360776,1.9879891,0.7,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,296.32599999999996,2.8171999999999997,2,4,63.489999999999995,4
1190,Gemcitabine,A,5.05,WARNING,APPROVED,2,2,0,0,2.701958433731402,2.5197992945710816,1.6234134583333333,0.7083333333333334,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,183.163,-0.17790000000000017,0,4,63.68,3
1621,PCI-34051,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.5876735889195044,2.3629007542675193,1.7653395000000005,0.6818181818181818,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,539.6810000000004,2.852400000000001,5,9,150.79,9
1581,Bromosporine,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.60584679681739,2.3213657311030795,2.142649190476191,0.7142857142857143,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C,509.7390000000006,5.835500000000007,1,7,62.75000000000001,10
1931,MIRA-1,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.4998710836354023,2.4896596294382345,2.117135391304348,0.5652173913043478,CCC(=O)OCN1C(=O)C=CC1=O,368.38300000000004,4.236000000000004,1,4,45.59,3
1133,Serdemetan,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.29467711304679,2.614586621522903,2.4501595416666664,0.625,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1,404.4520000000001,2.34804,2,8,127.57999999999998,5
1194,SB505124,C,5.0,WARNING,REJECTED,0,0,0,0,0.9212551604595128,0.8904204368591309,3.6728426666666665,0.6666666666666666,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,328.41900000000004,4.961100000000003,3,3,52.74,6
1043,JNK Inhibitor VIII,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.4286706847548154,2.4985805973410606,2.573659125,0.7083333333333334,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,861.9350000000002,0.7855000000000025,5,14,318.94999999999993,8
1626,OTX015,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.6770380537307097,2.5151524137366903,2.1446711363636366,0.4545454545454545,CC1=C(SC2=C1C(=NC(C3=NN=C(N32)C)CC(=O)NC4=CC=C(C=C4)O)C5=CC=C(C=C5)Cl)C,412.5190000000001,2.9106700000000005,2,7,107.85,4
2107,LJI308,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.4998611115560507,2.5050180527296932,2.809174727272727,0.4545454545454545,C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F,434.47100000000034,2.3474000000000004,1,4,86.37,4
2057,Remodelin,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.425227045311258,2.3366922736167908,2.27931875,0.625,C1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)C#N)C1,581.0690000000002,6.139100000000005,2,8,106.35000000000001,11
2038,UNC0638,C,5.0,WARNING,REJECTED,0,0,0,0,2.100660647929768,1.9823939482577972,2.516277,0.5555555555555556,CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)C5CCCCC5,300.44200000000006,5.602600000000005,1,1,37.3,5
1009,Tretinoin,B,3.1081037809500005,FAIL,CAUTION,9,7,0,2,2.115364850761412,1.8648141225179036,2.0680313333333333,0.6666666666666666,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,440.5070000000002,4.2173000000000025,1,7,99.16,5
